target_deathrate,incidencerate,medincome,popest2015,povertypercent,studypercap,medianagemale,medianagefemale,percentmarried,pctnohs18_24,pcths18_24,pctbachdeg18_24,pcths25_over,pctbachdeg25_over,pctemployed16_over,pctunemployed16_over,pctprivatecoverage,pctpubliccoverage,pctpubliccoveragealone,pctwhite,pctblack,pctasian,pctotherrace,birthrate
121.4,413.3,54721.0,9.696032786103176,12.7,0.0,54.0,54.6,56.8,17.7,32.4,5.2,17.2,26.2,54.6,5.9,67.2,41.6,18.3,92.57332665,0.651792429,1.428929556,2.2374028580000003,4.586129754
172.7,499.3,51395.0,11.710521438315304,15.7,6.731163995686115,40.0,42.2,53.6,25.5,33.8,3.1,26.7,15.9,54.5,8.2,64.4,38.1,20.2,85.59027341,0.8060799540000001,1.887835902,6.226590582999999,5.818153266
188.3,398.9,52673.0,9.336091577281744,12.6,0.0,44.9,45.5,54.4,20.0,43.8,2.4,29.2,14.2,51.5,8.3,64.4,36.1,20.5,93.41812683,0.8449702040000001,0.978386552,0.773814818,4.805591962
165.3,493.4,71890.0,13.55738987674745,9.9,4.938144509179809,36.6,38.7,52.1,15.4,33.3,8.3,24.3,20.9,62.1,7.5,73.3,25.9,14.1,78.83273756,2.595851085,9.51151338,2.2527198040000003,4.729251068
171.0,440.7,50083.0,13.104089421095052,16.3,6.138533609078863,35.7,38.7,49.4,10.9,29.3,8.6,25.7,18.1,55.1,8.4,65.2,36.5,21.4,89.03816718,1.8270414609999999,2.315985625,1.03362505,5.355835918
174.2,423.8,43823.0,10.68720643128046,19.3,0.0,45.6,46.8,57.2,25.1,35.3,3.9,34.4,10.7,46.3,9.4,58.3,45.8,24.1,89.17745936,0.489115459,0.603931294,0.865711399,3.631082062
169.9,495.9,61653.0,12.504460951187752,11.9,5.341206604447543,37.1,39.9,52.4,14.8,31.7,7.4,22.7,20.3,56.5,8.5,74.5,30.7,13.7,82.58622199,2.8398731739999996,5.83580425,1.226386727,5.180155167
153.8,463.2,51022.0,8.304742269640771,13.9,0.0,51.5,53.1,53.5,37.2,20.8,4.2,33.1,10.1,35.7,10.6,64.7,49.7,20.4,92.96158612,0.123915737,1.1400247829999999,0.0,0.535475234
162.8,442.5,49819.0,11.00773393982133,15.7,6.142150311471312,35.5,39.1,46.5,13.7,29.2,5.6,22.6,16.4,54.5,6.4,65.7,38.0,18.8,86.23882396,1.649198004,1.617386063,5.63573653,4.138710893
163.3,490.9,53733.0,12.265684990461317,15.7,5.524119550165289,35.6,37.5,47.5,9.4,22.1,7.7,23.0,21.3,57.8,8.2,68.7,31.9,17.4,85.4703042,0.880733945,3.925156929,2.4258812169999997,4.4729858
140.8,390.5,41837.0,10.782657764306842,28.4,0.0,24.4,23.9,36.1,1.2,16.4,10.3,17.4,25.7,53.4,8.8,78.3,22.9,11.9,83.58260051,2.1546098380000003,7.614951751,1.61542247,3.3041590339999996
169.4,411.0,44342.0,12.424529230156207,20.5,5.711785701891912,31.6,33.6,48.6,28.7,39.3,3.0,27.8,9.8,56.0,9.0,54.6,35.7,22.4,78.02051672,0.8427375020000001,1.089697989,12.95026838,6.560611666000001
189.7,445.2,35615.0,9.723463354790857,21.5,0.0,40.9,42.1,52.0,9.8,36.1,8.3,47.1,7.9,46.5,9.0,55.6,44.8,26.4,96.84418146,0.836770068,0.37654653,0.029884645,2.292860865
206.1,463.1,56737.0,11.625378767241278,13.2,4.503853774130159,38.0,38.6,51.8,17.0,40.8,10.0,38.2,12.7,58.7,9.7,70.0,33.1,17.3,87.80122144,7.333247489,1.052205585,0.905963725,4.8724681169999995
236.7,501.8,37625.0,10.059336788998968,22.1,0.0,41.2,43.2,55.2,21.3,42.9,5.2,49.4,5.4,39.5,9.2,60.2,46.3,25.4,98.3125,0.675,0.091666667,0.12916666699999999,4.220287661
196.3,396.6,33817.0,9.57609397984812,22.2,0.0,43.7,45.3,52.4,32.6,46.2,3.4,49.1,8.5,44.3,14.4,56.1,43.4,25.4,97.91234619,0.497718789,0.0,0.0,5.469020422000001
186.2,481.6,43572.0,10.058395088732475,15.1,0.0,44.1,48.0,50.3,11.1,30.6,3.8,43.7,11.0,51.9,6.4,68.3,39.7,19.4,96.81808578,1.745193323,0.515529263,0.063384745,4.970530452
194.0,483.4,34887.0,11.480867041276339,21.9,5.803411550044404,36.9,39.9,43.0,9.7,28.2,11.5,31.9,14.8,50.3,6.8,63.3,39.0,21.7,91.06936297,4.818020326,1.189787656,0.228249194,4.521925134
226.5,459.9,32162.0,8.918784137975802,21.8,0.0,47.6,46.5,55.7,11.6,31.4,0.0,48.9,7.6,39.9,18.1,52.4,46.0,25.2,98.25327511,0.09262935,0.052931057000000004,0.026465528999999998,4.7801147230000005
212.9,591.0,32961.0,9.09504174761272,25.1,8.50497315092982,43.4,43.3,55.8,19.5,51.1,0.0,49.1,5.8,39.6,12.3,48.7,52.0,32.5,98.04178974,0.0,0.0,0.043758889,8.753056235
185.6,234.0,41838.0,9.009080614161977,17.4,0.0,41.8,45.5,45.8,26.2,61.7,1.9,44.3,8.8,41.0,6.5,55.2,45.2,25.4,96.67113767,1.085233508,0.085355444,0.0,6.016466117999999
217.0,457.0,36739.0,10.714373323320329,21.4,0.0,42.0,45.1,50.9,17.3,49.3,4.4,44.4,8.4,42.6,9.2,53.4,47.8,27.8,93.37637809,5.160978609,0.103219572,0.23059691699999998,6.526136485
209.9,463.1,32705.0,9.05005424204284,28.9,0.0,37.4,41.2,43.2,7.8,29.4,3.9,36.6,9.8,37.1,9.4,61.3,39.0,18.8,81.55946321,10.89773253,0.32392410899999996,1.353540028,2.328431373
128.0,356.3,41039.0,9.37305428246393,17.0,0.0,45.5,45.7,50.5,16.3,41.5,8.4,50.2,7.0,51.3,6.7,65.1,42.4,21.2,97.37621667,1.379602201,0.0,0.11002962300000001,3.528435035
195.1,494.9,36996.0,10.477766734079745,21.1,0.0,44.6,46.7,52.2,22.4,36.6,13.3,44.0,11.2,48.2,7.2,61.9,43.0,22.1,94.14288118,2.299108395,0.38692312,0.42617619,4.354354354
212.1,475.1,35980.0,10.058523554635661,21.2,0.0,44.0,45.1,38.7,21.5,47.4,5.3,50.0,6.9,46.0,8.1,50.5,44.7,31.1,97.15827033,1.422988701,0.03398182,0.097697732,2.28320067
184.1,495.0,48178.0,10.302800441159095,12.9,0.0,44.1,47.9,51.8,20.0,23.8,14.8,42.8,12.6,53.2,7.2,69.5,37.6,17.1,95.71537366,2.238336479,0.248336148,0.0,5.693029274
153.0,374.9,41010.0,9.536257094657879,15.3,0.0,44.2,45.0,50.1,24.9,54.2,3.9,47.7,9.3,53.7,7.9,65.8,38.2,19.1,94.69001148,4.355625718,0.46641791,0.215269805,2.955003358
206.7,506.6,42121.0,11.137722794988953,13.9,5.081924886011624,40.5,43.5,52.4,17.7,38.6,9.5,39.5,13.5,53.0,7.4,64.0,39.5,21.3,95.67378765,1.820342619,0.526102206,0.15507695900000001,5.060383303
194.2,475.8,41121.0,10.28322451207156,16.7,0.0,41.2,44.1,54.5,13.7,41.2,9.2,41.1,11.7,46.8,6.8,66.9,40.6,21.3,97.40224228,0.66311184,0.201668034,0.061525841,4.735242361
178.2,423.7,66950.0,10.94169498690382,10.2,0.0,39.9,39.3,53.3,14.1,24.5,6.2,32.1,18.2,60.3,8.4,73.3,29.2,14.6,88.24211251,6.96562466,1.6227768319999998,0.56688521,4.995519713
205.4,508.7,43936.0,12.145966951547397,16.8,5.258285662790756,40.9,44.3,47.9,20.4,33.0,7.6,37.3,14.7,54.1,7.0,66.0,39.4,20.4,88.72214738,4.4758125810000005,1.100738543,0.18922219699999998,4.091266719
218.4,553.0,40568.0,9.708019964072157,20.0,0.0,42.2,44.7,50.6,15.6,41.8,9.8,49.7,9.3,47.1,7.2,56.4,46.8,26.9,97.80941949999999,0.535475234,0.261652671,0.0,4.374100718999999
226.9,513.2,34295.0,9.971893585200188,24.4,3.864852588709269,41.4,42.8,50.6,16.9,50.7,5.2,43.4,5.7,42.2,10.1,51.7,52.6,31.6,98.32560297,0.477736549,0.269016698,0.0,2.635983264
240.1,523.9,36437.0,10.45472548691338,20.2,3.3949321781985864,41.5,44.1,53.1,15.0,45.9,2.2,41.6,5.5,40.5,10.9,56.1,45.5,25.8,96.44574944,2.192393736,0.363534676,0.164988814,4.195713917
234.8,457.1,24707.0,9.895253747609024,34.9,0.0,41.5,46.5,46.0,32.3,51.6,3.1,43.9,3.2,27.0,13.3,39.7,58.5,37.7,89.35679262,9.157773291,0.0,0.572060379,3.860072376
188.8,510.9,43729.0,10.949507457751732,17.9,0.0,39.7,42.7,51.0,11.2,34.4,5.4,40.9,14.5,54.5,4.9,67.6,35.7,18.3,93.95492164,3.62211657,0.515935904,0.0,5.113459745
184.6,456.3,43356.0,10.372834716355579,15.2,0.0,42.9,46.5,57.7,8.5,45.9,9.2,45.1,11.4,50.9,7.0,70.3,37.5,17.0,97.66625616,0.858990148,0.406403941,0.172413793,3.174132305
209.5,463.4,35799.0,10.20499856292435,20.6,7.04540796626804,42.3,44.1,51.6,23.1,42.5,3.3,47.5,7.8,41.2,10.3,59.6,47.6,26.6,97.86584244,0.724877654,0.058873312000000004,0.099348714,3.66910141
210.0,493.8,35046.0,11.021330409481017,20.5,4.415792994199016,40.6,43.7,50.6,14.0,37.3,6.1,37.9,12.5,46.6,5.1,56.4,48.2,27.1,91.14249245,5.857071303,0.654376242,0.17773181899999999,4.807972069
198.4,456.6,40012.0,10.220194304028526,16.1,0.0,42.1,44.4,44.2,9.5,48.4,4.8,50.2,8.5,47.0,8.8,58.6,39.4,23.3,94.81534859,3.1453792110000003,0.299045217,0.169338858,7.391231312
240.8,507.0,29839.0,10.138282956590785,28.1,0.0,40.4,42.7,55.6,17.2,47.3,0.6,41.0,5.4,38.1,14.1,51.6,50.9,31.3,96.08962246,1.415294435,0.408777139,0.327792989,2.796024928
155.9,444.5,43835.0,11.554422431645518,22.5,4.574052461728797,28.5,31.3,37.2,3.5,23.8,14.5,29.9,20.6,55.4,5.8,76.5,23.3,12.4,90.57717276,3.597002007,3.1504504860000004,0.35311012299999994,4.001671717
190.7,434.6,36351.0,9.510963348560765,19.3,0.0,45.4,48.3,56.8,10.6,42.0,0.3,49.4,8.7,48.0,7.3,60.5,45.2,23.7,97.65619224,0.695009242,0.0,0.0,6.07651913
209.7,425.4,44446.0,9.771383711902791,13.0,0.0,45.8,46.6,47.7,13.3,53.1,7.6,41.2,11.1,49.3,12.3,63.7,38.4,17.3,97.35622318,0.7725321890000001,0.417739628,0.0,4.090035685
199.8,455.5,36375.0,10.150152298891683,19.6,0.0,42.3,44.7,57.9,14.7,44.2,1.3,48.0,8.2,46.5,8.4,61.6,44.1,23.5,99.32896259,0.034708831,0.20825298899999997,0.0,3.346456693
184.4,500.9,40195.0,10.670512321570657,18.4,5.713278107760575,41.3,45.1,45.2,8.9,26.7,8.1,34.5,18.7,56.0,5.5,70.9,36.2,16.8,93.13655843,4.152439444,0.850195935,0.288745789,3.2572266439999997
139.8,381.8,38204.0,8.88599431515281,16.7,0.0,47.4,50.3,55.3,25.9,41.3,3.6,46.0,7.3,45.4,4.9,59.8,45.3,24.1,95.9605512,2.7289921639999997,0.040529587,0.108078898,7.611940299
213.3,458.9,44801.0,8.945723572455398,16.5,0.0,42.0,45.6,55.0,9.0,47.1,4.3,50.1,7.3,45.6,8.2,71.6,36.8,17.7,97.14510215,0.275013096,0.0,0.0,2.966381015
176.8,384.8,34341.0,9.060447282401565,17.6,0.0,47.9,49.0,56.4,10.0,54.9,8.0,47.4,10.0,50.7,5.7,60.0,44.9,23.0,96.75750259,1.483270093,0.0,0.0,4.256631709
169.8,435.3,41420.0,10.432379002113745,17.6,0.0,40.4,43.5,53.3,18.0,44.6,5.9,46.4,9.0,49.5,7.0,63.5,39.3,21.1,94.16427578,3.9723150639999996,0.156762992,0.328314946,4.038301415
171.5,497.2,59472.0,10.948153908874458,10.0,5.3570070370824885,40.4,41.6,57.4,7.7,43.6,5.8,37.8,14.8,57.7,3.7,73.6,31.2,15.8,96.62520319,1.500106015,0.33924659,0.169623295,6.034482758999999
198.2,469.6,40270.0,11.258175140753421,17.7,2.632001142463597,40.0,43.4,51.3,11.9,41.1,8.3,39.5,12.0,45.5,6.6,60.6,44.6,24.0,88.30214159,8.28099321,1.188641025,0.52488757,3.77850558
168.6,405.2,37468.0,10.279420858038254,20.8,0.0,41.7,45.1,52.2,24.3,35.7,7.6,46.3,10.6,48.7,6.7,59.6,43.3,23.4,96.90447812,1.924059254,0.17708156,0.08854078,4.231027535
214.7,502.0,46383.0,9.208638925336425,17.7,0.0,45.1,45.3,49.5,23.1,38.0,0.3,47.9,6.3,44.8,10.6,57.4,46.9,24.3,98.234714,0.473372781,0.0,0.029585799,6.267539757000001
204.0,449.2,33041.0,9.577480365762678,23.1,0.0,43.2,45.0,53.9,26.0,45.8,10.0,46.5,8.2,41.3,8.9,51.6,51.8,32.6,97.9365947,0.020497404,0.12981689,0.204974037,2.353331124
170.4,377.1,32456.0,9.490997829490999,25.8,0.0,46.9,46.0,53.5,20.0,46.2,8.4,40.5,7.6,42.2,10.0,60.2,49.6,24.7,93.04489073,5.06497342,0.147666864,0.191966923,3.8126688680000003
172.2,400.9,40305.0,9.735837835974042,16.8,0.0,41.6,44.5,52.3,9.2,44.6,5.0,43.6,11.7,48.9,9.5,63.7,42.6,20.6,97.26100018,0.948341874,0.960122519,0.035341933,6.801152738
168.1,528.4,36466.0,8.848939995030118,17.1,0.0,47.0,48.4,60.5,7.0,50.6,0.0,52.7,7.1,51.7,7.6,68.0,39.3,17.9,98.16408491,0.22948938600000002,0.602409639,0.0,3.868613139
199.1,468.3,41019.0,9.102309627762478,15.8,0.0,45.6,46.9,53.5,19.0,44.1,6.3,49.2,7.2,44.1,10.9,62.3,43.0,19.8,98.73796081,0.166057788,0.0,0.022141038,1.988950276
189.5,453.7,38387.0,10.116944338260794,19.7,0.0,41.2,42.5,51.5,9.1,39.1,6.1,48.4,9.3,48.2,8.0,59.7,40.2,23.3,97.41449511,1.099348534,0.23615635199999999,0.052931596,5.300938708
183.8,433.2,37242.0,10.620644185556426,20.0,3.235044711057781,41.3,43.5,48.9,13.4,43.3,3.2,40.9,7.5,43.3,9.9,54.6,45.6,27.1,97.9300706,0.361454493,0.132533314,0.214462999,4.112005292
259.5,511.9,29331.0,9.077494458642754,26.1,4.746847210812992,45.5,46.6,54.1,10.4,54.6,2.8,43.0,5.3,40.2,14.8,45.1,53.3,35.4,97.98364512,0.123221687,0.369665061,0.0,4.203539823
202.6,514.6,40013.0,9.668840589963489,18.5,0.0,44.6,47.2,51.4,19.8,52.5,3.2,48.7,6.0,41.7,8.1,63.5,44.6,21.3,98.44030451,0.117596088,0.470384354,0.0,6.161137441
185.8,455.3,38600.0,8.679482094459956,20.3,0.0,45.4,44.0,52.2,21.1,31.6,2.3,47.6,7.8,47.9,8.4,61.6,41.4,23.5,97.41482623,0.8388974490000001,0.0,0.11984249300000001,5.9689288629999995
185.5,488.8,41932.0,11.367356192649297,17.2,5.161963054948632,41.1,44.0,51.1,15.8,36.5,4.2,38.1,12.2,52.4,8.6,63.0,42.0,22.7,96.18988205,1.059393015,0.6076779999999999,0.251851338,6.23870268
235.4,447.8,34419.0,10.005683064850798,22.8,0.0,41.5,44.2,55.7,23.3,33.7,3.6,46.0,4.5,34.6,10.1,54.6,49.9,28.7,97.72588122,0.7828216570000001,0.0,0.126825855,6.018614271000001
206.0,467.9,42063.0,9.910909938351766,17.8,0.0,49.7,53.3,50.9,21.5,44.6,3.3,43.7,8.5,42.2,10.1,63.9,50.8,22.6,93.18859713,3.0511955410000002,0.391178915,0.718791257,3.861129137
217.5,451.5,41294.0,9.670546158741807,14.9,0.0,40.8,42.8,45.9,8.9,31.3,6.0,35.0,14.6,58.2,7.9,62.7,42.5,23.9,84.96217095,0.525229788,0.518977052,0.17507659600000003,6.460336538
168.4,412.1,46375.0,10.726873210019802,13.7,7.001593145464931,42.0,45.6,55.8,15.6,44.4,3.3,39.8,10.6,60.0,6.0,68.4,39.2,19.0,95.66169067,1.2673466709999999,0.474981395,0.709188811,5.884312202
171.7,369.9,44395.0,9.614337736809313,13.6,0.0,50.5,51.1,58.5,14.2,28.8,4.5,30.2,18.9,54.1,7.2,65.9,44.1,21.0,86.37873754,0.664451827,0.445182724,0.252491694,5.547054322999999
158.6,479.1,54141.0,12.463497809621026,12.0,7.102233202663578,35.7,37.9,51.4,16.8,28.7,9.0,31.3,20.0,65.4,6.1,72.5,30.0,17.2,86.45045286,2.359873899,3.026496072,2.879666453,5.921762149
166.4,385.7,50998.0,9.487441664883777,10.5,5.027866216084062,45.1,44.9,59.0,14.5,39.0,5.5,42.5,12.4,64.7,3.7,73.4,34.5,16.0,97.49230423,0.473008484,0.090096854,0.848412043,7.17472119
190.1,399.2,41810.0,9.626415659196363,16.5,0.0,50.6,51.4,59.0,14.7,34.9,6.8,40.0,11.9,50.3,7.5,64.2,48.2,23.7,91.54167209999999,0.482587714,0.41085170200000004,0.254336768,4.96054115
157.9,474.1,68430.0,10.815027014984796,5.9,0.0,38.4,39.8,62.0,14.6,27.9,11.9,33.8,20.6,69.4,3.1,84.1,22.4,10.6,94.67772455,0.7790168690000001,2.411530255,0.696485366,4.330985915
160.1,482.4,52485.0,11.059298994955046,10.7,6.192261797698059,39.1,42.0,55.6,14.2,36.1,7.0,38.5,13.5,61.8,5.1,73.4,33.9,15.7,95.12569413,1.358983689,1.202360423,0.229397712,5.4977711739999995
157.6,455.2,45316.0,10.447148159395692,16.0,0.0,36.4,38.4,58.2,37.3,35.4,2.7,43.3,8.4,61.2,4.8,56.6,34.0,17.6,97.12034301,0.40268845200000003,0.446144041,0.6257604729999999,9.86429301
176.6,476.1,59020.0,10.946305202881923,8.8,0.0,41.3,42.7,54.9,18.5,39.2,8.1,34.9,15.8,65.0,5.8,78.2,29.4,12.9,95.67367993,1.5139470380000002,0.531736358,0.374511986,4.654466449
176.4,466.4,43562.0,9.704548689918736,14.7,4.812332155018617,44.2,47.1,52.3,8.9,48.5,4.9,42.7,10.1,55.6,6.5,67.4,41.0,20.3,96.23248195,1.789722745,0.37007826200000005,0.145604562,5.300353357
153.8,430.7,61937.0,13.168567343100701,13.4,4.874123963387088,33.7,35.6,47.5,6.3,21.9,21.4,19.0,28.3,69.5,4.9,82.5,22.6,10.2,84.42134229999999,5.199353976,5.404960427000001,1.885542476,4.458527742
178.9,437.3,54359.0,11.39079172872657,9.9,0.0,40.4,43.7,51.1,15.0,45.6,6.2,40.2,11.5,60.1,6.0,77.7,30.3,13.9,93.82361909,2.0960619780000003,0.603069556,0.9271912090000001,4.49736915
158.7,449.3,49717.0,10.223939286317336,11.0,7.48399003004815,50.2,53.2,62.6,20.8,31.0,11.1,32.9,19.7,55.6,6.2,75.8,39.5,15.5,96.61750388,0.540910894,0.47960765899999996,0.393061916,4.4813801810000005
192.8,354.7,46475.0,10.68285829984469,13.9,0.0,39.8,41.3,47.6,10.9,26.9,7.5,33.2,15.4,59.9,7.0,66.5,37.9,20.6,92.94732756,1.102764903,1.137012261,0.264846229,6.150455775
155.6,396.1,52224.0,10.703199523324104,13.9,0.0,33.4,35.0,47.6,4.5,25.4,5.5,34.6,16.2,62.0,6.1,72.4,32.3,16.8,94.42242804,0.597839625,2.096967776,0.23551258,5.116736738999999
163.4,440.9,48102.0,11.533766768341877,14.4,6.5173387768734985,33.0,34.7,46.4,6.9,26.6,8.3,26.9,19.9,65.3,5.8,74.8,29.4,14.6,92.75184882,0.737551959,3.4478332560000005,0.233015077,4.346348463
171.9,308.2,44562.0,8.4040244933106,12.8,0.0,50.8,51.3,59.9,23.9,15.7,0.0,39.2,12.0,51.1,7.2,68.9,41.8,17.6,98.45844504,0.20107238600000002,0.067024129,0.0,3.462050599
159.4,477.0,52149.0,11.532473157812598,9.9,5.465340911091012,40.1,41.8,54.8,10.6,33.8,6.2,38.5,14.8,64.6,5.3,77.1,30.6,14.4,93.58516484,1.164638933,1.315737834,1.864207221,4.541733098
166.4,490.6,41418.0,9.111403624116159,17.0,8.368011189572186,44.4,46.4,52.8,18.9,42.2,4.4,40.7,8.8,47.6,10.1,59.8,43.9,20.4,82.26229508,0.491803279,0.153005464,0.0,7.250418292999999
166.9,428.2,46972.0,10.863814308399895,15.0,0.0,33.2,39.7,48.6,8.4,23.8,4.7,38.7,13.1,62.2,4.6,74.8,30.4,13.9,96.73716716,1.303190973,0.7360795509999999,0.273844899,5.174434328
158.4,420.0,53328.0,10.523714516819444,8.7,0.0,41.3,43.2,56.7,10.5,40.9,12.4,39.0,14.8,67.6,3.5,78.2,30.2,13.8,97.19792679,0.296944174,0.639779721,0.410322859,5.46031746
152.3,447.2,61802.0,9.747476810531971,8.2,0.0,36.3,40.7,58.1,4.3,22.7,6.2,29.5,18.0,63.4,3.5,83.4,24.3,9.0,96.47605601,0.352982704,0.482409695,1.194258148,9.675645959
169.9,356.1,40351.0,8.560444233410552,16.0,5.260464299979665,45.2,47.8,56.5,30.1,26.2,5.4,31.1,17.2,61.2,1.4,64.9,38.3,17.8,84.54854552,0.434454099,0.547789951,0.491122025,5.360824742
187.4,400.6,43883.0,8.036573409707312,12.1,0.0,47.7,50.5,61.0,11.9,14.8,14.2,42.3,10.0,62.2,3.1,75.6,35.3,14.8,97.90794979,1.223044738,0.193112327,0.41841004200000004,7.992565056
138.2,221.5,55955.0,8.689127655323706,9.2,0.0,36.8,41.4,62.7,12.4,29.1,5.3,35.0,14.2,68.3,2.6,76.1,28.0,12.4,97.18796251,0.559118566,0.263114619,0.34533793799999996,5.6782334379999995
120.2,432.5,49517.0,8.549466751966532,10.7,0.0,47.6,50.9,67.0,21.5,22.7,9.2,37.0,14.8,54.5,1.7,74.0,36.1,16.8,97.10536472,0.057892705999999995,0.0,0.0,6.35451505
215.0,453.6,41344.0,8.862908295118627,34.0,0.0,27.5,30.3,40.9,30.2,32.9,3.0,35.5,9.2,54.5,14.4,39.9,39.1,28.4,41.41952203,0.10077742599999999,0.56147423,0.38871292799999996,8.467741935
156.3,350.1,44726.0,8.332067707289548,12.3,0.0,44.2,46.6,64.2,17.2,34.4,3.1,42.6,14.5,67.0,1.4,70.5,38.3,16.9,98.30747532,0.070521862,0.0,0.023507287,5.01285347
159.2,431.4,69191.0,9.915860688599269,7.4,0.0,40.1,42.4,63.5,13.0,24.9,11.2,31.1,22.6,68.0,1.4,82.4,22.9,8.3,97.27995261,0.676309424,0.098731303,0.306067039,5.725611099
142.1,392.0,53290.0,9.145054905277552,13.6,0.0,27.2,32.2,53.9,3.6,17.7,2.4,20.5,25.8,66.8,3.0,82.7,22.2,9.1,95.25729443,3.3421750660000002,0.021220159,0.7320954909999999,5.981533521
162.7,495.5,40979.0,8.195885391314796,12.7,0.0,45.5,49.0,57.2,28.0,31.1,3.5,36.1,12.9,56.7,4.7,69.1,38.3,17.7,95.53692183,0.054097917,1.3794968890000001,0.5139302139999999,3.524229075
164.7,389.2,51335.0,9.532930988916153,10.6,0.0,38.2,43.6,56.5,13.6,25.8,5.3,32.6,19.0,65.5,2.0,77.4,28.9,11.6,95.60940326,0.933092224,0.224231465,0.7016274859999999,6.993486459
211.0,453.5494221,46840.0,10.094149233605084,13.2,0.0,37.1,40.8,51.6,19.8,39.3,1.4,35.0,10.9,48.4,11.9,63.0,37.0,17.3,81.84067293,2.370938479,2.667821211,3.645060201,7.724034496
167.7,453.5494221,51241.0,14.564471749058892,15.6,6.006941839743848,35.9,37.0,44.6,20.2,35.5,4.9,28.8,15.1,57.7,10.8,62.9,27.3,16.0,63.75048389,10.83685568,9.169756707000001,10.14589511,5.125073246
145.2,453.5494221,60322.0,10.77291725825696,10.3,0.0,48.7,50.0,58.9,17.3,38.6,5.0,24.7,16.4,51.5,8.5,70.7,35.8,12.9,89.15127277,0.554391756,1.305571426,3.49986246,5.193753615
143.2,453.5494221,72648.0,10.857767470314318,10.8,0.0,32.9,34.1,56.6,19.0,33.7,5.1,26.8,12.3,67.0,5.5,73.0,18.5,10.0,88.13661223,1.2897094759999999,0.927039293,2.5619642369999998,6.7007335370000005
262.1,453.5494221,47180.0,6.721425700790643,14.0,0.0,43.0,47.5,44.3,1.2,62.7,0.0,43.2,12.6,46.0,11.9,56.5,37.1,16.5,87.37949167,0.0,0.0,7.9754601229999995,4.326923077
178.7,453.5494221,70535.0,7.6093665379542115,9.8,0.0,44.9,42.6,64.7,48.1,19.2,0.0,35.8,14.2,64.0,4.7,76.4,18.6,2.6,95.80587178,0.119832235,0.0,1.4379868180000002,2.412868633
191.5,453.5494221,67423.0,9.742144402127366,10.7,0.0,34.9,35.4,51.6,31.9,40.2,4.7,37.4,8.8,64.5,7.8,69.4,20.6,11.6,87.06275268,0.451163063,0.31640007,4.371008379,5.517423442
123.8,453.5494221,74347.0,8.683385366280309,11.0,0.0,36.4,37.6,54.3,24.3,51.6,3.3,37.5,4.7,59.8,12.0,69.1,24.4,11.3,88.44601413,0.134544231,0.8072653879999999,2.371342079,11.63179916
